league,optaleague,id,name,teamId,teamName,Optaname,country,shirtNumber
premier-league,Premier League,160447,Adam Smith,8678,AFC Bournemouth,Bournemouth,England,15
premier-league,Premier League,1177358,Adrien Truffert,8678,AFC Bournemouth,Bournemouth,France,3
premier-league,Premier League,1233655,Alex Scott,8678,AFC Bournemouth,Bournemouth,England,8
premier-league,Premier League,1449690,Alex Tóth,8678,AFC Bournemouth,Bournemouth,Hungary,27
premier-league,Premier League,1079557,Amine Adli,8678,AFC Bournemouth,Bournemouth,Morocco,21
premier-league,Premier League,33025,Andoni Iraola,8678,AFC Bournemouth,Bournemouth,Spain,
premier-league,Premier League,979752,Bafodé Diakité,8678,AFC Bournemouth,Bournemouth,France,18
premier-league,Premier League,1324871,Ben Gannon-Doak,8678,AFC Bournemouth,Bournemouth,Scotland,11
premier-league,Premier League,1896299,Charlie Stevens,8678,AFC Bournemouth,Bournemouth,Wales,53
premier-league,Premier League,915156,Christos Mandas,8678,AFC Bournemouth,Bournemouth,Greece,29
premier-league,Premier League,674014,David Brooks,8678,AFC Bournemouth,Bournemouth,Wales,7
premier-league,Premier League,1067256,Djordje Petrovic,8678,AFC Bournemouth,Bournemouth,Serbia,1
premier-league,Premier League,464486,Enes Ünal,8678,AFC Bournemouth,Bournemouth,Turkiye,26
premier-league,Premier League,1098096,Evanilson,8678,AFC Bournemouth,Bournemouth,Brazil,9
premier-league,Premier League,95336,Fraser Forster,8678,AFC Bournemouth,Bournemouth,England,17
premier-league,Premier League,959407,James Hill,8678,AFC Bournemouth,Bournemouth,England,23
premier-league,Premier League,1358655,Julio Soler,8678,AFC Bournemouth,Bournemouth,Argentina,6
premier-league,Premier League,1460534,Junior Kroupi,8678,AFC Bournemouth,Bournemouth,France,22
premier-league,Premier League,794253,Justin Kluivert,8678,AFC Bournemouth,Bournemouth,Netherlands,19
premier-league,Premier League,562724,Lewis Cook,8678,AFC Bournemouth,Bournemouth,England,4
premier-league,Premier League,785411,Marcos Senesi,8678,AFC Bournemouth,Bournemouth,Argentina,5
premier-league,Premier League,789630,Marcus Tavernier,8678,AFC Bournemouth,Bournemouth,England,16
premier-league,Premier League,1347568,Matai Akinmboni,8678,AFC Bournemouth,Bournemouth,USA,45
premier-league,Premier League,1334834,Owen Bevan,8678,AFC Bournemouth,Bournemouth,Wales,
premier-league,Premier League,1478295,Rayan,8678,AFC Bournemouth,Bournemouth,Brazil,37
